h,displacement_key,mean_abs_err,max_abs_diff,mean_rel_err
0.14,1|z|+,0.23629760421834697,1.0515015013400018,0.7782131945119078
0.14,1|y|-,0.23629787127232943,1.0515332050518829,0.778251952984143
0.14,1|x|+,0.236297606948035,1.0513519218862848,0.7784490886646647
0.14,1|y|+,0.23629760237966682,1.0515038587855867,0.7781726085220093
0.14,1|x|-,0.23629787774319197,1.0512868708372025,0.7783446768956136
0.14,1|z|-,0.23629787197276475,1.0515277963428176,0.7782399718495465
0.14,0|y|-,0.23629760057189514,1.0515039066727292,0.7781800671466993
0.14,0|x|+,0.23629788257347276,1.0512958976418887,0.7782550325995762
0.14,eq,0.00015549523374942575,0.006105703838468424,0.0012451749194630406
0.14,0|z|+,0.2362978744781003,1.0515273808979684,0.7781416493648718
0.14,0|z|-,0.2362976021832553,1.051505255964539,0.778321180404595
0.14,0|y|+,0.23629787355011359,1.0515333440030161,0.7780854547447686
0.14,0|x|-,0.23629760322900223,1.05134257656749,0.7782715824406607
0.13,1|z|+,0.23628956003574245,1.0481986926524078,0.7780778897369313
0.13,1|y|-,0.2362895573925002,1.0482849732535375,0.7780590503039309
0.13,1|x|+,0.23628956093480993,1.048221213037619,0.7780730685243764
0.13,1|y|+,0.23628956144539112,1.04820496226659,0.7780836511910342
0.13,1|x|-,0.23628955936372423,1.0487211042525033,0.7780615225472105
0.13,1|z|-,0.2362895585358559,1.0482911789980869,0.7780626676355601
0.13,0|y|-,0.23628955971715843,1.0482028217843604,0.7780921520217878
0.13,0|x|+,0.23628956043156266,1.048689511680807,0.7780576446740424
0.13,eq,0.00012147059340309614,0.0036256550626481143,0.0005961790760334476
0.13,0|z|+,0.2362895602758058,1.0482584794754912,0.7780643742675936
0.13,0|z|-,0.23628955821503964,1.0481964610570276,0.7780861766756638
0.13,0|y|+,0.23628955908129334,1.0482521085950616,0.778061016241725
0.13,0|x|-,0.23628957720343552,1.04822000325932,0.7780736421810592
0.12,1|z|+,0.23630543525230513,1.0505182752510898,0.7779195271991552
0.12,1|y|-,0.23630565430338707,1.050489352179423,0.7779816838474883
0.12,1|x|+,0.23630544067789583,1.0503838008291313,0.7778983160035667
0.12,1|y|+,0.23630543382665695,1.0505134074845117,0.7778541331176716
0.12,1|x|-,0.2363056536210052,1.0503742996580983,0.7779602057868361
0.12,1|z|-,0.23630565651529692,1.0504878323705193,0.7780013783153691
0.12,0|y|-,0.2363054335970755,1.0505011491738632,0.7782738972276814
0.12,0|x|+,0.23630565551632393,1.050365125183653,0.777972638935491
0.12,eq,7.756774076196452e-05,0.003123943146885022,0.0005899158354900907
0.12,0|z|+,0.23630565695707786,1.0505011686602397,0.7780274325494744
0.12,0|z|-,0.23630543491434616,1.050506917081352,0.7783931113497534
0.12,0|y|+,0.23630565453334476,1.0505027138887502,0.778005342436151
0.12,0|x|-,0.23630543734623785,1.0503767663790238,0.7780079008732688
0.15,1|z|+,0.2363004055291786,1.0519550823820647,0.777976934554335
0.15,1|y|-,0.23630046656965606,1.0519774831882716,0.7778418620120331
0.15,1|x|+,0.2363003893511634,1.051387030868759,0.7779533976262147
0.15,1|y|+,0.23630040564914595,1.0519593427609644,0.7779670214510348
0.15,1|x|-,0.2363004608649179,1.0514610922504062,0.7778297938204577
0.15,1|z|-,0.23630047002894025,1.051982721230929,0.7778713801726338
0.15,0|y|-,0.23630040500874,1.0519582548766642,0.7779623874475904
0.15,0|x|+,0.2363004620752824,1.051483535925164,0.7778438081218714
0.15,eq,0.00020016405238349852,0.00767139177767362,0.0009756770269374478
0.15,0|z|+,0.23630047091025982,1.0519764072304492,0.77787541299501
0.15,0|z|-,0.23630040478416897,1.0519548143164814,0.7779778350014851
0.15,0|y|+,0.23630046682930236,1.0519712391264546,0.7778500509790083
0.15,0|x|-,0.23630038542612053,1.0513816589395204,0.7779485661211708
0.17,1|z|+,0.2363135949912225,1.05358646215755,0.7781753090281128
0.17,1|y|-,0.23631390487889306,1.0535313119243108,0.7777864018892194
0.17,1|x|+,0.23631359312810918,1.053291621950329,0.7781609125719309
0.17,1|y|+,0.23631359407785588,1.0535854489364098,0.7781704817475896
0.17,1|x|-,0.2363139091039365,1.053083779125966,0.7778105119387145
0.17,1|z|-,0.23631390913673264,1.0535180371292092,0.7778156301757325
0.17,0|y|-,0.2363135928189411,1.0535759865930514,0.7781002848350933
0.17,0|x|+,0.23631391107169536,1.053084180846481,0.7778118674275326
0.17,eq,0.00033787262330457784,0.011814279492066593,0.001434576114236739
0.17,0|z|+,0.2363139098502431,1.0535166794772197,0.7778170430524888
0.17,0|z|-,0.23631359366645366,1.0535832788077706,0.7781096503524412
0.17,0|y|+,0.23631390537558108,1.0535329116857395,0.7777874484747144
0.17,0|x|-,0.23631359000802446,1.0533089672461236,0.7780717730218569
0.19,1|z|+,0.23654233869664953,1.0547528319887562,0.7778323650303385
