h,displacement_key,mean_abs_err,max_abs_diff,mean_rel_err
0.14,1|z|+,0.23710490029741169,1.0507339048648108,0.8182244112621043
0.14,1|y|-,0.23710530619393536,1.0507329906162068,0.8332057462190954
0.14,1|x|+,0.23710497926994079,1.050447507956336,0.8192821490281282
0.14,1|y|+,0.23710502574370987,1.0507232533967432,0.8182820987178245
0.14,1|x|-,0.2371053449432564,1.0504634089610536,0.8120147320282375
0.14,1|z|-,0.23710543917829435,1.0507227137291046,0.8473301834577076
0.14,0|y|-,0.2371048982314442,1.050705832840094,0.8126251065388503
0.14,0|x|+,0.23710527477337323,1.050427965195264,0.829133651855745
0.14,eq,0.011241131803185632,0.10511476263394848,0.2688053700839821
0.14,0|z|+,0.2371052410971172,1.050747620043043,0.8251727194526532
0.14,0|z|-,0.23710496696577799,1.0507175132812328,0.8126163301608655
0.14,0|y|+,0.23710530448441774,1.050769277972312,0.8254599192264412
0.14,0|x|-,0.23710492682153794,1.0504787018430106,0.808359553971506
0.13,1|z|+,0.23679252436239231,1.049759599288408,0.7992926690065761
0.13,1|y|-,0.23679284733065495,1.050172576007941,1.8222963010019235
0.13,1|x|+,0.23679258938116338,1.0496923184216167,0.8008987954157349
0.13,1|y|+,0.23679259352923507,1.049760977849683,0.7992684300384144
0.13,1|x|-,0.23679285698314503,1.0498705628965432,0.8448869577286763
0.13,1|z|-,0.23679291921448037,1.050178909916777,0.8453075743573306
0.13,0|y|-,0.2367928094785506,1.0497592625655796,0.8036153880259157
0.13,0|x|+,0.23679241961817915,1.0498257035067238,0.799407635660401
0.13,eq,0.00707868578628915,0.06780371122989404,0.15273697266014713
0.13,0|z|+,0.23679237140746248,1.0497949775948328,0.8292642941051559
0.13,0|z|-,0.2367928637606257,1.0497576069242056,0.8030365751576598
0.13,0|y|+,0.23679242171198864,1.0497884712129182,0.83501996591876
0.13,0|x|-,0.2367928120415788,1.0496685513082327,0.8128758502904918
0.15,1|z|+,0.23742679214667894,1.0523488963558607,0.8328910922049455
0.15,1|y|-,0.23742815576258636,1.0523116876739882,0.868250611141069
0.15,1|x|+,0.2374269724160483,1.0520573227459868,0.8393110419642907
0.15,1|y|+,0.23742698662996142,1.0523469800363818,0.832905803595958
0.15,1|x|-,0.23742815754908234,1.0521518442995452,0.8620967602136592
0.15,1|z|-,0.23742835348947144,1.0523101528133214,2.9080604376295955
0.15,0|y|-,0.2374280234452364,1.0523399448197535,0.8376062249687123
0.15,0|x|+,0.23742758383004425,1.0522156733465307,0.8180585345246023
0.15,eq,0.01592440678324493,0.14707861869512573,0.3556968900317368
0.15,0|z|+,0.23742750097898427,1.0523173839507274,0.818560305021914
0.15,0|z|-,0.23742809383288624,1.0523366384980959,0.8375887610792383
0.15,0|y|+,0.23742757105054765,1.0523135436734385,0.8186543752784076
0.15,0|x|-,0.23742800790610755,1.0519687214314348,0.8402864754601139
0.17,1|z|+,0.2383638857580394,1.0625955962656577,0.8928952759456217
0.17,1|y|-,0.23836468738536046,1.0625814950584063,0.9367179466547765
0.17,1|x|+,0.23836413863928982,1.0627624303914012,0.8814852920095624
0.17,1|y|+,0.23836419395677502,1.0625893272263345,0.8925107092542678
0.17,1|x|-,0.23836475823480754,1.062777070081269,0.8894285623749506
0.17,1|z|-,0.23836499689998875,1.0625753733635406,0.9427318340634122
0.17,0|y|-,0.23836486007920496,1.0625864011967312,0.8954740684412835
0.17,0|x|+,0.23836407578024152,1.062741282607063,0.8963443333767833
0.17,eq,0.027282606049136172,0.2532183425101578,0.7703254586820356
0.17,0|z|+,0.2383639357617697,1.062578012619335,0.8925095579081666
0.17,0|z|-,0.23836503677162743,1.0625924921493102,0.8978590025718964
0.17,0|y|+,0.23836411361370038,1.0625851049496515,0.8918828051681019
0.17,0|x|-,0.23836487461792974,1.062792747309913,0.9137071415903634
0.19,1|z|+,0.23961699854220747,1.0689684737491683,1.1171217932481086
0.19,1|y|-,0.23961919840221227,1.0689155916619397,1.020551892372558
0.19,1|x|+,0.23961743429343574,1.0690294141862262,1.1006489372825707
0.19,1|y|+,0.23961744491318784,1.0689676223163096,1.1177129018224705
0.19,1|x|-,0.2396192146246317,1.0690047853512743,1.037675869649411
0.19,1|z|-,0.23961964650814002,1.0689168015624804,1.0215350558005643
0.19,0|y|-,0.2396184643706495,1.068932599218372,1.0303234962921235
0.19,0|x|+,0.23961856542308174,1.0690168359118508,0.991503677711902
0.19,eq,0.04240220565602461,0.3855859283897836,1.9455832484784825
0.19,0|z|+,0.23961839332988133,1.0689645802152166,0.9946558737442068
0.19,0|z|-,0.23961875028237753,1.0689335936857531,1.031855399262162
0.19,0|y|+,0.23961867556159955,1.0689619620350483,0.9948691838511182
0.19,0|x|-,0.23961854944533037,1.0690144972186049,2.2895257606481443
0.18,1|z|+,0.23895367742371532,1.0647917748080524,0.8663331309206528
0.18,1|y|-,0.23895508939090085,1.0647965265517707,0.8756457341796159
0.18,1|x|+,0.23895402560520818,1.0648847522571325,0.8661023316256053
0.18,1|y|+,0.23895401385317902,1.0647959578987947,0.8663519356544411
0.18,1|x|-,0.23895511745227777,1.064641049953591,0.8761490690977518
0.18,1|z|-,0.23895544030588897,1.0647999274261395,0.8758289328931071
0.18,0|y|-,0.23895502809609737,1.0647776123087704,0.8810812416223629
0.18,0|x|+,0.23895410541835527,1.0647419661327677,0.8520034455536497
0.18,eq,0.03426598943339576,0.30351692770200867,0.6747555171260239
0.18,0|z|+,0.2389539183528503,1.0648322651446658,0.8519886962641294
0.18,0|z|-,0.23895525805510537,1.0647718503069907,0.880847484393889
